,date,nu
3592,2017-11-01,9.730203523578996e-07
3593,2017-11-02,9.64148536300225e-07
3594,2017-11-03,9.64429880069176e-07
3595,2017-11-04,9.481354605843217e-07
3596,2017-11-05,9.535369885392651e-07
3597,2017-11-06,9.307310648810648e-07
3598,2017-11-07,9.294129277375829e-07
3599,2017-11-08,9.294920420177612e-07
3600,2017-11-09,9.113375028848479e-07
3601,2017-11-10,9.340291123204084e-07
3602,2017-11-11,9.357576230332476e-07
3603,2017-11-12,9.334250268770901e-07
3604,2017-11-13,9.302265328934288e-07
3605,2017-11-14,9.383988511971227e-07
3606,2017-11-15,9.630255861695245e-07
3607,2017-11-16,9.892580604889334e-07
3608,2017-11-17,9.745708041728804e-07
3609,2017-11-18,9.434601663894005e-07
3610,2017-11-19,9.498786556472361e-07
3611,2017-11-20,9.796283568740136e-07
3612,2017-11-21,9.410250820897665e-07
3613,2017-11-22,9.581314525666432e-07
3614,2017-11-23,9.397229705055083e-07
3615,2017-11-24,9.870114104650917e-07
3616,2017-11-25,1.0052333039881744e-06
3617,2017-11-26,9.88807117453372e-07
3618,2017-11-27,9.755790989376598e-07
3619,2017-11-28,9.419901558945178e-07
3620,2017-11-29,9.394334402299513e-07
3621,2017-11-30,9.472506347144596e-07
3622,2017-12-01,9.584295985189735e-07
3623,2017-12-02,9.453665869412681e-07
3624,2017-12-03,9.457706487520221e-07
3625,2017-12-04,9.582795894344436e-07
3626,2017-12-05,9.379021036547886e-07
3627,2017-12-06,9.206977394018991e-07
3628,2017-12-07,9.236437154736232e-07
3629,2017-12-08,9.1443174172306e-07
3630,2017-12-09,1.0511771772075583e-06
3631,2017-12-10,1.2578810982470318e-06
3632,2017-12-11,1.1934947575513261e-06
3633,2017-12-12,1.0915637360603687e-06
3634,2017-12-13,1.1640872783685028e-06
3635,2017-12-14,1.113650885926378e-06
3636,2017-12-15,1.0506402660836397e-06
3637,2017-12-16,1.0459691754346076e-06
3638,2017-12-17,1.0149092575161436e-06
3639,2017-12-18,9.745567969001802e-07
3640,2017-12-19,9.739375460485572e-07
3641,2017-12-20,9.66901671908468e-07
3642,2017-12-21,9.880769389195734e-07
3643,2017-12-22,9.77125591268701e-07
3644,2017-12-23,9.754762542317898e-07
3645,2017-12-24,9.75005840164843e-07
3646,2017-12-25,9.778338280586819e-07
3647,2017-12-26,9.847230401241056e-07
3648,2017-12-27,9.724250945728092e-07
3649,2017-12-28,9.754762542317898e-07
3650,2017-12-29,9.844841788720652e-07
3651,2017-12-30,9.972738575580032e-07
3652,2017-12-31,1.0073526399903712e-06
3653,2018-01-01,1.0093383814075597e-06
3654,2018-01-02,1.034443405379771e-06
3655,2018-01-03,1.0557408110208406e-06
3656,2018-01-04,1.1100062579247318e-06
3657,2018-01-05,1.1499440890242424e-06
3658,2018-01-06,1.175215536676731e-06
3659,2018-01-07,1.18899471158755e-06
3660,2018-01-08,1.1670075335062925e-06
3661,2018-01-09,1.1545579114537952e-06
3662,2018-01-10,1.1317811157229148e-06
3663,2018-01-11,1.0951044026707709e-06
3664,2018-01-12,1.1013695856158464e-06
3665,2018-01-13,1.1013695856158464e-06
3666,2018-01-14,1.123757425089821e-06
3667,2018-01-15,1.1311836204747075e-06
3668,2018-01-16,1.1193391815915127e-06
3669,2018-01-17,1.1111660288749948e-06
3670,2018-01-18,1.142623193279885e-06
3671,2018-01-19,1.157960267639393e-06
3672,2018-01-20,1.1520935216061589e-06
3673,2018-01-21,1.138085502396021e-06
3674,2018-01-22,1.107692538609396e-06
3675,2018-01-23,1.0919932525973736e-06
3676,2018-01-24,1.0914291146594238e-06
3677,2018-01-25,1.0970916469980011e-06
3678,2018-01-26,1.087773605449382e-06
3679,2018-01-27,1.0777526954195285e-06
3680,2018-01-28,1.0643497061241333e-06
3681,2018-01-29,1.0432980776073185e-06
3682,2018-01-30,1.0565431282291763e-06
3683,2018-01-31,1.0796895547342901e-06
3684,2018-02-01,1.0643497061241333e-06
3685,2018-02-02,1.0456623985753427e-06
3686,2018-02-03,1.062186921985181e-06
3687,2018-02-04,1.0440852276037115e-06
3688,2018-02-05,1.0323775328221171e-06
3689,2018-02-06,1.020373612596809e-06
3690,2018-02-07,9.941120615497896e-07
3691,2018-02-08,9.71957052561583e-07
3692,2018-02-09,9.764181818983747e-07
3693,2018-02-10,9.691564203087497e-07
3694,2018-02-11,9.624417483568574e-07
3695,2018-02-12,9.310581503080253e-07
3696,2018-02-13,9.369808709475922e-07
3697,2018-02-14,9.343410559687046e-07
3698,2018-02-15,9.211059497626139e-07
3699,2018-02-16,9.090104509402689e-07
3700,2018-02-17,9.096406390849218e-07
3701,2018-02-18,9.132250881927393e-07
3702,2018-02-19,9.251956997658958e-07
3703,2018-02-20,9.185379850234454e-07
3704,2018-02-21,9.090104509402689e-07
3705,2018-02-22,9.058700747732143e-07
3706,2018-02-23,9.004681564013002e-07
3707,2018-02-24,8.963481973497778e-07
3708,2018-02-25,8.853753364999663e-07
3709,2018-02-26,8.754077647051831e-07
3710,2018-02-27,8.926662426567126e-07
3711,2018-02-28,8.835676586776258e-07
3712,2018-03-01,8.835676586776258e-07
3713,2018-03-02,8.973753242286183e-07
3714,2018-03-03,9.223942874835457e-07
3715,2018-03-04,9.578545851743552e-07
3716,2018-03-05,9.684582971716275e-07
3717,2018-03-06,9.670644838065831e-07
3718,2018-03-07,9.773615781982338e-07
3719,2018-03-08,9.97030067071056e-07
3720,2018-03-09,1.0193623930497191e-06
3721,2018-03-10,1.0267305152324577e-06
3722,2018-03-11,9.926582199676778e-07
3723,2018-03-12,1.0068571884980666e-06
3724,2018-03-13,1.0160870564665366e-06
3725,2018-03-14,1.0391160332638725e-06
3726,2018-03-15,1.0453992705265433e-06
3727,2018-03-16,1.034443405379771e-06
3728,2018-03-17,1.0280095524480532e-06
3729,2018-03-18,9.955693402363681e-07
3730,2018-03-19,9.880769389195734e-07
3731,2018-03-20,9.883172080653724e-07
3732,2018-03-21,9.88798029187294e-07
3733,2018-03-22,1.0031537904585045e-06
3734,2018-03-23,1.0165898497359404e-06
3735,2018-03-24,9.98983085806522e-07
3736,2018-03-25,9.890385812639343e-07
3737,2018-03-26,9.972738575580032e-07
3738,2018-03-27,9.87596683207253e-07
3739,2018-03-28,9.790160649949926e-07
3740,2018-03-29,9.668324964024983e-07
3741,2018-03-30,9.443028380302112e-07
3742,2018-03-31,9.481109071165762e-07
3743,2018-04-01,9.262768298604753e-07
3744,2018-04-02,9.159815751159381e-07
3745,2018-04-03,8.963481973497778e-07
3746,2018-04-04,8.831667635259201e-07
3747,2018-04-05,9.023321413433097e-07
3748,2018-04-06,8.855765589839825e-07
3749,2018-04-07,8.945041551097628e-07
3750,2018-04-08,8.823658557626564e-07
3751,2018-04-09,8.76594260531159e-07
3752,2018-04-10,8.763963305323086e-07
3753,2018-04-11,8.894138915872734e-07
3754,2018-04-12,8.9409520136773e-07
3755,2018-04-13,8.971697465782021e-07
3756,2018-04-14,8.910376661927204e-07
3757,2018-04-15,8.881992002128832e-07
3758,2018-04-16,8.994352989120357e-07
3759,2018-04-17,9.144956438906789e-07
3760,2018-04-18,9.006749581328236e-07
3761,2018-04-19,8.977867082115745e-07
3762,2018-04-20,9.02747207846219e-07
3763,2018-04-21,9.085907176551741e-07
3764,2018-04-22,8.977867082115745e-07
3765,2018-04-23,8.869871908762709e-07
