date,Data_S65E,TP_mg/m3
10/21/2018,0.081571429,81.57142857
10/22/2018,0.081,81
10/23/2018,0.080428571,80.42857143
10/24/2018,0.079857143,79.85714286
10/25/2018,0.079285714,79.28571429
10/26/2018,0.078714286,78.71428571
10/27/2018,0.078142857,78.14285714
10/28/2018,0.077571429,77.57142857
10/29/2018,0.077,77
10/30/2018,0.076933333,76.93333333
10/31/2018,0.076866667,76.86666667
11/1/2018,0.0768,76.8
11/2/2018,0.076733333,76.73333333
11/3/2018,0.076666667,76.66666667
11/4/2018,0.0766,76.6
11/5/2018,0.076533333,76.53333333
11/6/2018,0.076466667,76.46666667
11/7/2018,0.0764,76.4
11/8/2018,0.076333333,76.33333333
11/9/2018,0.076266667,76.26666667
11/10/2018,0.0762,76.2
11/11/2018,0.076133333,76.13333333
11/12/2018,0.076066667,76.06666667
11/13/2018,0.076,76
11/14/2018,0.077128205,77.12820513
11/15/2018,0.07825641,78.25641026
11/16/2018,0.079384615,79.38461538
11/17/2018,0.080512821,80.51282051
11/18/2018,0.081641026,81.64102564
11/19/2018,0.082769231,82.76923077
11/20/2018,0.083897436,83.8974359
11/21/2018,0.085025641,85.02564103
11/22/2018,0.086153846,86.15384615
11/23/2018,0.087282051,87.28205128
11/24/2018,0.088410256,88.41025641
11/25/2018,0.089538462,89.53846154
11/26/2018,0.090666667,90.66666667
11/27/2018,0.089622222,89.62222222
11/28/2018,0.088577778,88.57777778
11/29/2018,0.087533333,87.53333333
11/30/2018,0.086488889,86.48888889
12/1/2018,0.085444444,85.44444444
12/2/2018,0.0844,84.4
12/3/2018,0.083355556,83.35555556
12/4/2018,0.082311111,82.31111111
12/5/2018,0.081266667,81.26666667
12/6/2018,0.080222222,80.22222222
12/7/2018,0.079177778,79.17777778
12/8/2018,0.078133333,78.13333333
12/9/2018,0.077088889,77.08888889
12/10/2018,0.076044444,76.04444444
12/11/2018,0.075,75
12/12/2018,0.076066667,76.06666667
12/13/2018,0.077133333,77.13333333
12/14/2018,0.0782,78.2
12/15/2018,0.079266667,79.26666667
12/16/2018,0.080333333,80.33333333
12/17/2018,0.0814,81.4
